frame_number,timestamp,grand_delta_e,contact_perimeter,contrast,homogeneity,energy,variance_r,variance_g,variance_b,variance_l,variance_a,variance_b_star,variance_delta_e
0,0.0,0.0,27852,1.9283581868420858,0.8541568602493961,0.07285237975574378,1842.5694596367675,1934.5400731376346,1923.108212782433,299.99302516705416,15.621327816630519,29.415774491206847,0.0
1,0.03332053398780307,0.6778579143160537,27263,1.8333740767903044,0.8548755157764277,0.07294894469282517,1840.8585446378888,1932.165195888792,1921.8012386272062,299.6521530251373,15.529984102861027,29.32140629405378,0.288564567598384
2,0.06664106797560614,1.1707812538009659,26841,1.7697179811987467,0.8551952328512433,0.07303214648256752,1839.5524460276865,1930.8154174387323,1921.4674552362226,299.41914298222656,15.560178741177337,29.395939888774677,0.7572895688439896
3,0.0999616019634092,1.9024611126680475,26115,1.6863099515276327,0.855525888863204,0.0730733687810075,1834.80580094271,1925.5935657674988,1917.9605066272684,298.56742229103935,15.565054158739532,29.41379038420991,1.6521412053339202
4,0.13328213595121227,2.4580561959118032,26019,1.701360337602754,0.8561765687212939,0.07337017817594788,1832.838024449008,1923.192914499766,1915.9864040028874,298.22524973636473,15.551370129231179,29.44390012683665,2.8331642791352976
5,0.16660266993901532,2.952385217483342,26816,1.8401202055445671,0.8541888433841416,0.07305287709901911,1832.2101670005566,1922.7151412502162,1914.56311901191,298.19784408806123,15.468467576527091,29.326282988615862,3.734766432411841
6,0.1999232039268184,3.1983878806087342,26844,1.8425351813577693,0.8537658067258188,0.07310460955048077,1831.735509759032,1920.499160496382,1915.0170065952777,297.93161686373134,15.546503795562096,29.34308977447301,4.291808462584466
7,0.23324373791462144,3.369814438462293,26927,1.838159581009104,0.8541343795769092,0.07321006626903925,1828.9442100830906,1917.8754583090035,1912.5867972853375,297.49333163629984,15.508025384959895,29.285563682229544,4.851448052546441
8,0.26656427190242454,3.553196967317146,27226,1.8936793317085336,0.8532253106623805,0.07300202559415495,1828.6088657049747,1917.7127371298543,1912.036137757582,297.427694039394,15.649925679961827,29.587724146427234,5.265662956523119
9,0.2998848058902276,3.672006132385839,27202,1.8961634479335658,0.853190826357093,0.07313673693717504,1830.2517315176271,1919.3944209461913,1913.14490813998,297.6899724117295,15.670736834210508,29.648961725005456,5.5550178210620915
10,0.33320533987803064,3.9670087268894965,27532,1.936613058154494,0.8522473090708195,0.07313037643664458,1832.5718613678098,1922.9666460491821,1918.932662021419,298.19270228986915,15.72195803740421,29.50612740118182,5.010801109878413
11,0.36652587386583374,4.089569367026129,27568,1.9432999236986168,0.8516728660641032,0.07304890617482329,1831.9664206270243,1921.8345556824524,1918.7094454051557,298.04164689281885,15.673227046654734,29.423911651044833,5.376230223017932
12,0.3998464078536368,4.208251499355064,27443,1.911189141004462,0.8529682169368333,0.07338732209257616,1831.074291252059,1921.1042254741076,1917.5292557184193,297.848438856976,15.756713600612851,29.491433509198313,5.645050342001515
13,0.43316694184143983,4.379111478930904,27598,1.9374921291049032,0.8527411296345893,0.07349625358626528,1831.2881368281562,1921.438585679674,1916.9647852628154,297.8715691824207,15.85772975366891,29.636658833564383,6.001532403111375
14,0.4664874758292429,4.404378970578367,27767,1.958384879979653,0.8522655969690403,0.07342418081577941,1831.1355895407708,1921.7383986019129,1917.4327106175685,297.8580004787362,15.937379338028581,29.7609701121545,6.024044728139511
